work_id,mp_id,mp_name,state,constituency,district,house,year,category,fund_received_cr,sanctioned_amount_cr,final_expenditure_cr,sanction_date,status,completion_date,implementing_agency,sc_st_area,data_source,utilization_pct
REAL-85,MP0084,Sikander Kumar,Himachal Pradesh,Shimla,Shimla,Parliamentary Member,2025,All recommended works,5.0,2.88,0.05,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,1.0
REAL-86,MP0085,Mir Mohammad Fayaz,Jammu and Kashmir,Kupwara,Kupwara,Parliamentary Member,2025,All recommended works,22.5,30.18,23.51,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,104.5
REAL-87,MP0086,Ghulam Nabi Azad,Jammu and Kashmir,Doda,Doda,Parliamentary Member,2025,All recommended works,17.5,20.44,17.17,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,98.1
REAL-88,MP0087,Nazir Ahmed Laway,Jammu and Kashmir,Kulgam,Kulgam,Parliamentary Member,2025,All recommended works,22.5,23.69,21.29,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,94.6
REAL-89,MP0088,Shamsher Singh Manhas,Jammu and Kashmir,Jammu,Jammu,Parliamentary Member,2025,All recommended works,25.0,25.61,22.6,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,90.4
REAL-90,MP0089,Shri. Shibu Soren,Jharkhand,Dumka,Dumka,Parliamentary Member,2025,All recommended works,2.0,0.4,0.04,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,2.0
REAL-91,MP0090,Mahua Maji,Jharkhand,Ranchi,Ranchi,Parliamentary Member,2025,All recommended works,2.5,2.64,1.86,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,74.4
REAL-92,MP0091,Shri. Deepak Prakash,Jharkhand,Ranchi,Ranchi,Parliamentary Member,2025,All recommended works,2.0,1.88,0.49,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,24.5
REAL-93,MP0092,Mahesh Poddar,Jharkhand,Ranchi,Ranchi,Parliamentary Member,2025,All recommended works,19.5,24.13,19.57,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,100.4
REAL-94,MP0093,Dhiraj Prasad Sahu,Jharkhand,Lohardaga,Lohardaga,Parliamentary Member,2025,All recommended works,10.0,7.41,6.84,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,68.4
REAL-95,MP0094,Mukhtar Abbas Naqvi,Jharkhand,Ranchi,Ranchi,Parliamentary Member,2025,All recommended works,17.5,14.7,14.4,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,82.3
REAL-96,MP0095,Samiroraon,Jharkhand,Gumla,Gumla,Parliamentary Member,2025,All recommended works,12.0,10.51,8.18,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,68.2
REAL-97,MP0096,Aditya Prasad,Jharkhand,Ranchi,Ranchi,Parliamentary Member,2025,All recommended works,2.5,2.51,2.21,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,88.4
REAL-98,MP0097,Shri. Iranna Kadadi,Karnataka,Belagavi,Belagavi,Parliamentary Member,2025,All recommended works,2.0,3.5,2.53,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,126.5
REAL-99,MP0098,Oscar Fernandes,Karnataka,Udupi,Udupi,Parliamentary Member,2025,All recommended works,68.5,79.67,69.78,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,101.9
REAL-100,MP0099,Jairam Ramesh,Karnataka,Chikmagalur,Chikmagalur,Parliamentary Member,2025,All recommended works,0.0,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0
REAL-101,MP0100,Jaggesh,Karnataka,Tumakuru,Tumakuru,Parliamentary Member,2025,All recommended works,2.5,2.3,0.05,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,2.0
REAL-102,MP0101,Shri. Mallikarjun Kharge,Karnataka,Gulbarga,Gulbarga,Parliamentary Member,2025,All recommended works,2.0,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0.0
REAL-103,MP0102,L. Hanumanthaiah,Karnataka,Bengaluru Urban,Bengaluru Urban,Parliamentary Member,2025,All recommended works,12.0,12.43,9.35,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,77.9
REAL-104,MP0103,G.c Chandrashekhar,Karnataka,Bengaluru Urban,Bengaluru Urban,Parliamentary Member,2025,All recommended works,10.0,12.14,11.47,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,114.7
REAL-105,MP0104,Lahar Singh Siroya,Karnataka,Bengaluru Urban,Bengaluru Urban,Parliamentary Member,2025,All recommended works,2.5,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0.0
REAL-106,MP0105,Shri. H.D. Devegowda,Karnataka,Hassan,Hassan,Parliamentary Member,2025,All recommended works,4.5,6.23,2.48,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,55.1
REAL-107,MP0106,Shri. Ashok Gasti,Karnataka,Raichur,Raichur,Parliamentary Member,2025,All recommended works,0.0,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0
REAL-108,MP0107,Shri. Narayana Koragappa,Karnataka,Bengaluru Urban,Bengaluru Urban,Parliamentary Member,2025,All recommended works,2.0,0.69,0.49,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,24.5
REAL-109,MP0108,Shri. K.C Ramamurthy,Karnataka,Bengaluru Urban,Bengaluru Urban,Parliamentary Member,2025,All recommended works,4.5,6.55,1.92,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,42.7
REAL-110,MP0109,Sh. Jairam Ramesh,Karnataka,Chikmagalur,Chikmagalur,Parliamentary Member,2025,All recommended works,10.0,11.39,9.66,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,96.6
REAL-111,MP0110,Syed Nasir Hussain,Karnataka,Ballari,Ballari,Parliamentary Member,2025,All recommended works,7.5,5.36,4.74,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,63.2
REAL-112,MP0111,Rajeev Chandrashekhar,Karnataka,Bengaluru Urban,Bengaluru Urban,Parliamentary Member,2025,All recommended works,10.0,9.85,7.53,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,75.3
REAL-113,MP0112,Nirmala Sitharaman,Karnataka,Bengaluru Urban,Bengaluru Urban,Parliamentary Member,2025,All recommended works,19.5,22.19,21.14,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,108.4
REAL-114,MP0112,Nirmala Sitharaman,Karnataka,Bengaluru Urban,Bengaluru Urban,Parliamentary Member,2025,All recommended works,2.5,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0.0
REAL-115,MP0113,Shri. Jose K. Mani,Kerala,Kottayam,Kottayam,Parliamentary Member,2025,All recommended works,2.0,4.66,0.04,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,2.0
REAL-116,MP0114,Shri. Abdul Wahab,Kerala,Malappuram,Malappuram,Parliamentary Member,2025,All recommended works,22.5,27.46,20.03,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,89.0
REAL-117,MP0115,Shri. Binoy Viswam,Kerala,Thiruvananthapuram,Thiruvananthapuram,Parliamentary Member,2025,All recommended works,7.5,17.19,4.15,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,55.3
REAL-118,MP0116,Jose K Mani,Kerala,Kottayam,Kottayam,Parliamentary Member,2025,All recommended works,5.0,10.41,3.06,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,61.2
REAL-119,MP0117,Shri. K. Somaprasad,Kerala,Kollam,Kollam,Parliamentary Member,2025,All recommended works,17.5,31.0,16.05,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,91.7
