mp_id,mp_name,state,constituency,district,house,entitlement_cr,goi_release_cr,unreleased_cr,tenure,nodal_district,data_source
MP0136,Shri. Vivek K. Tankha,Madhya Pradesh,Jabalpur,Jabalpur,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0137,Rajmani Patel,Madhya Pradesh,Rewa,Rewa,Parliamentary Member,22.0,10.0,12.0,03.04.2018 to 02.04.2024,Rewa,RS_Session_259_AU_2235_1.csv
MP0138,Sumitra Balmik,Madhya Pradesh,Jabalpur,Jabalpur,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0139,Shri. Digvijay Singh,Madhya Pradesh,Bhopal,Bhopal,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0140,Kailash Soni,Madhya Pradesh,Narsinghpur,Narsinghpur,Parliamentary Member,22.0,10.0,12.0,03.04.2018 to 02.04.2024,Narsinghpur,RS_Session_259_AU_2235_1.csv
MP0141,Sh. L. Murugan,Madhya Pradesh,Chhindwara,Chhindwara,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0142,Dharmendra Pradhan,Madhya Pradesh,Sehore,Sehore,Parliamentary Member,22.0,5.0,17.0,03.04.2018 to 02.04.2024,Sehore,RS_Session_259_AU_2235_1.csv
MP0143,Kavita Patidar,Madhya Pradesh,Indore,Indore,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0144,Sulata Deo,Madhya Pradesh,nan,nan,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0145,Praful Patel,Maharashtra,Gondia,Gondia,Parliamentary Member,22.13,15.13,7.0,05.07.2016 to 04.07.2022,Gondia,RS_Session_259_AU_2235_1.csv
MP0146,Imran Pratapgarhi,Maharashtra,Mumbai City,Mumbai City,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0147,Prakash Javadekar,Maharashtra,Pune,Pune,Parliamentary Member,22.0,5.0,17.0,03.04.2018 to 02.04.2024,Pune,RS_Session_259_AU_2235_1.csv
MP0148,Sh. Praful Patel,Maharashtra,Gondia,Gondia,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0149,Narayan Rane,Maharashtra,Sindhudurg,Sindhudurg,Parliamentary Member,22.0,7.5,14.5,03.04.2018 to 02.04.2024,Sindhudurg,RS_Session_259_AU_2235_1.csv
MP0150,Dhananjay Bhimrao Mahadik,Maharashtra,Kolhapur,Kolhapur,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0151,Ketkar Keshav Chintaman,Maharashtra,Thane,Thane,Parliamentary Member,22.0,10.0,12.0,03.04.2018 to 02.04.2024,Thane,RS_Session_259_AU_2235_1.csv
MP0152,Shri. Sharad Pawar,Maharashtra,Pune,Pune,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0153,Shrimant Udayanraje Pratapsinghmaharaj Bhonsle,Maharashtra,Satara,Satara,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0154,Vikas Mahatme,Maharashtra,Nagpur,Nagpur,Parliamentary Member,22.13,12.63,9.5,05.07.2016 to 04.07.2022,Nagpur,RS_Session_259_AU_2235_1.csv
MP0155,Shri. Vinay P. Sahasrabuddhe,Maharashtra,Thane,Thane,Parliamentary Member,0.0,0.0,0.0,,,RS_Session_259_AU_2235_1.csv
MP0156,Sanjay Raut,Maharashtra,Mumbai Suburban,Mumbai Suburban,Parliamentary Member,22.13,10.13,12.0,05.07.2016 to 04.07.2022,Mumbai Suburban,RS_Session_259_AU_2235_1.csv
