S.No,Name of MP (Shri/Smt/Dr./Ms/Prof./Adv.),State,Nodal District,Tenure of MP,Entitlement till his tenure,GOI Release (in Cr),Unreleased Amount (in Cr)
147,Om Prakash Mathur,Rajasthan,Jaipur,05.07.2016 to 04.07.2022,22,12.5,9.5
148,Ram Kumar Verma,Rajasthan,Dausa,05.07.2016 to 04.07.2022,22,19.5,2.5
149,Rajendra Singh Gahlot,Rajasthan,Jodhpur,22.06.2020 to 21.06.2026,22,0,22
150,Hishey Lachungpa,Sikkim,East District,24.02.2018 to 23.02.2024,22,10,12
151,Kanimozhi NVN Somu,Tamil Nadu,Chennai,29.07.2021 to 02.04.2026,22,2,20
152,A Vijaykumar,Tamil Nadu,Kanniyakumari,30.06.2016 to 29.06.2022,22,15,7
153,A. Navneethakrishnan,Tamil Nadu,Chennai,30.06.2016 to 29.06.2022,22,12.5,9.5
154,K.R.N. Rajeshkumar,Tamil Nadu,Namakkal,29.09.2021 to 29.06.2022,2,2,0
155,M Shanmugam,Tamil Nadu,Thanjavaur,25.07.2019 to 24.07.2025,22,4.5,17.5
156,M.Mohamed Abdulla,Tamil Nadu,Pudukkottai,06.09.2021 to 24.07.2025,19.5,2,17.5
157,N Chandrasegharan,Tamil Nadu,Salem,25.07.2019 to 24.07.2025,22,2.5,19.5
158,P. Wilson,Tamil Nadu,Chennai,25.07.2019 to 24.07.2025,22,2.5,19.5
159,R.S. Bharthi,Tamil Nadu,Chennai,30.06.2016 to 29.06.2022,22,20,2
160,S.R Balasubramonian,Tamil Nadu,Coimbatore,30.06.2016 to 29.06.2022,22,20,2
161,T.K.S Elangovan,Tamil Nadu,Chennai,30.06.2016 to 29.06.2022,22,20,2
162,Tiruchi Siva,Tamil Nadu,Tiruchirappali,03.04.2020 to 02.04.2026,22,2,20
163,Vaiko,Tamil Nadu,Tenkasi,25.07.2019 to 24.07.2025,22,2.5,19.5
164,Anbumani Ramadoss,Tamil Nadu,Dharmapuri,25.07.2019 to 24.07.2025,22,4.5,17.5
165,N.R. Elango,Tamil Nadu,Chennai,03.04.2020 to 02.04.2026,22,0,22
166,Anthiyur P. Selvarasu,Tamil Nadu,Erode,03.04.2020 to 02.04.2026,22,0,22
167,M. Thambidurai,Tamil Nadu,Kirhsnagiri,03.04.2020 to 02.04.2026,22,0,22
168,G.K. Vasan,Tamil Nadu,Thajavaur,03.04.2020 to 02.04.2026,22,0,22
169,K.Keshava Rao,Telangana,Hyderabad,10.04.2020 to 09.04.2026,22,2,20
170,Badugula lingaiah Yadav,Telangana,Suryapet,03.04.2018 to 02.04.2024,22,10,12
171,Dharmapuri Srinivas,Telangana,Nizamabad,22.06.2016 to 21.06.2022,22,17.5,4.5
172,K.R.Suresh Reddy,Telangana,Nizamabad,10.04.2020 to 09.04.2026,22,2,20
173,Lakshmikanta Rao Voditela,Telangana,Karimnagar,22.06.2016 to 21.06.2022,22,12.5,9.5
174,Santhosh Kumar Joganipally,Telangana,Karimnagar,03.04.2018 to 02.04.2024,22,5,17
175,Jharna Das Baidya,Tripura,West Tripura,03.04.2016 to 02.04.2022,49,44.5,4.5
176,Ashok Bajpai,Uttar Pradesh,Lucknow,03.04.2018 to 02.04.2024,22,10,12
177,Ashok Siddharth,Uttar Pradesh,Farrukhabad,05.07.2016 to 04.07.2022,22,19.5,2.5
178,G.V.L Narasimha Rao,Uttar Pradesh,Varanasi,03.04.2018 to 02.04.2024,22,5,17
179,Kapil Sibal,Uttar Pradesh,Rae Bareli,05.07.2016 to 04.07.2022,22,15,7
