Sl. No.,State/UT,MP Name,District,Fund Received Goi (Rs. Crore),Works Recommended Cost (Rs. Crore),Actual Expenditure Incurred with Exp_Admin (Rs. Crore)
218,Rajasthan,Shri. Rajendra Gehlot,Jodhpur,4.5,8.36,1.94
219,Rajasthan,Dr Manmohan Singh,Jaipur,7,8.68,3.77
220,Rajasthan,Shri Ghanshyam Tiwari,Jaipur,2.5,0,0
221,Rajasthan,Kirodi Lal,Dausa,14.5,15.81,13.33
222,Rajasthan,Bhupender Yadav,Ajmer,7.5,7.11,2.63
223,Rajasthan,Shri. K.C Venugopal,Jaipur,2,1.13,0.04
224,Sikkim,Hishey Lachungpa,East District,12,17.82,13.28
225,Tamil Nadu,Shri. R. Vaithilingam,Thanjavur,15,22.48,12.54
226,Tamil Nadu,Shri. T.K.S Elangovan,Chennai,22,22.17,19.57
227,Tamil Nadu,Shri N. Chandrasegharan,Salem,0,0,0
228,Tamil Nadu,Shri. P. Wilson,Chennai,4.5,2.49,2.45
229,Tamil Nadu,Shri. P. Selvarasu,Erode,2,0,0
230,Tamil Nadu,Shri. S.R Balasubramonian,Coimbatore,22,20.63,18.25
231,Tamil Nadu,Shri K.R.N Rajeshkumar,Namakkal,2.5,0,0
232,Tamil Nadu,A. Navneethakrishnan,Chennai,27.5,42.78,33.23
233,Tamil Nadu,Dr Kanimozhi NVN Somu,Chennai,4.5,6.89,1.95
234,Tamil Nadu,Dr Anbumani Ramadoss,Dharmapuri,4.5,5.92,2.77
235,Tamil Nadu,Shri C.VE Shanmugam,Villupuram,2.5,0,0
236,Tamil Nadu,Shri P. Chidambaram,Sivaganga,2.5,0,0
237,Tamil Nadu,Shri. M.mohamed Abdulla,Pudukkottai,2,2.94,1.69
238,Tamil Nadu,Shri. M Shanmugam,Thanjavur,7,9.16,4.52
239,Tamil Nadu,Shri. Tiruchi Siva,Tiruchirappalli,4.5,6.35,3.52
240,Tamil Nadu,Shri. N Chandrasegharan,Salem,4.5,3.28,2.39
241,Tamil Nadu,Shri. M. Thambidurai,Krishnagiri,2,0,0
242,Tamil Nadu,Shri. K. P. Munusamy,NA,0,0,0
243,Tamil Nadu,R. S. Bharthi,Chennai,22,22.04,19.93
244,Tamil Nadu,M. Shanmugam,Thanjavur,0,0,0
245,Tamil Nadu,Mr. A. Mohannedjan,Vellore,2.5,0,0
246,Tamil Nadu,Shri. N.R. Elango,Chennai,2,0,0
247,Tamil Nadu,Shri R. Girirajan,Tiruvallur,2.5,0,0
248,Tamil Nadu,Shri S Kalyanasundaram,Thanjavur,2.5,0,0
249,Tamil Nadu,Sh. A Vijaykumar,Kanniyakumari,20,22.33,17.46
250,Tamil Nadu,Shri. K. R. N. Rajeshkumar,Namakkal,2,0,0
251,Tamil Nadu,Shri R. Dharmar,Ramanathapuram,0,0,0
252,Tamil Nadu,Shri. G. K. Vasan,Thanjavur,2,5.91,0.04
253,Tamil Nadu,Shri. Vaiko,Tenkasi,2.5,4.32,2.36
254,Telangana,Santhosh Kumar Joganipally,Karimnagar,7.5,8.62,3.83
255,Telangana,Shri. Lakshmikanta Rao Voditela,Karimnagar,15,20.19,14.33
256,Telangana,Dr K. keshava Rao,Hyderabad,4.5,5.57,1.7
257,Telangana,Shri. Ravichandra Vaddiraju,Khamman,2.5,0,0.05
258,Telangana,Shri Damodar Rao Divakonda,Jagtial,2.5,0,0
259,Telangana,Badugula Lingaiah Yadav,Suryapet,12,13.57,11.57
260,Telangana,Shri. K. R. Suresh Reddy,Nizamabad,2,0,0
261,Telangana,Prakash Banda,Hanumakonda,2.5,6.46,1.58
262,Telangana,Shri B. Parthasaradhi Reddy,Khamman,2.5,0,0.05
263,Telangana,Shri. Dharmapuri Srinivas,Nizamabad,20,28,20.32
264,Tripura,Shri. Manik Saha,West Tripura,0,0,0
265,Tripura,Shri Biplab Kumar Deb,West Tripura,2.5,0,0
266,Tripura,Smt. Jharna Das Baidya,West Tripura,49,45.65,45.65
267,Uttar Pradesh,Prof. Ram Gopal Yadav,Etawah,2,0,0
268,Uttar Pradesh,Dr Tazeen Fatma,Rampur,25,25.33,25.78
269,Uttar Pradesh,Jaya Bachchan,Bhadohi,7.5,6.16,6.25
270,Uttar Pradesh,G. V. L Narasimha Rao,Varanasi,7.5,5.57,3.61
271,Uttar Pradesh,Shri Sakaldeep,Ballia,10,7.48,6.76
272,Uttar Pradesh,Sh. Kabil Sibal,Rae Bareli,17.5,21.34,15
273,Uttar Pradesh,Beni Prasad Verma,Barabanki,17.5,17.3,17.47
274,Uttar Pradesh,Smt Seema Dwivedi,Jaunpur,4.5,3.99,2.39
275,Uttar Pradesh,Ravi Prakash Verma,Kheri,27.5,30.44,28.15
276,Uttar Pradesh,Sanjay Seth,Lucknow,5,2.04,0.6
277,Uttar Pradesh,Shri Arun Singh,Mirzapur,2,1.26,0.16
278,Uttar Pradesh,Sh. P.l Punia,Barabanki,25,24.97,25.08
279,Uttar Pradesh,Shri Javed Ali Khan,Bhimnagar(sambhal),2.5,0,0
280,Uttar Pradesh,Shri. Syed Zafar Islam,Moradabad,14.5,0,0
281,Uttar Pradesh,Shri. Hardeep Singh Puri,Sonbhadra,2,1.99,1.49
282,Uttar Pradesh,Shri. Sudhanshu Trivedi,Lucknow,4.5,4.86,3.35
